NAME                                                            CPU(cores)   MEMORY(bytes)   
emss-pfa-appset-front-group-1-v12-5c94b84c4c-fmwjc              313m         5638Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-hhwmm              333m         5602Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-hqtvc              377m         5606Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-jcljc              367m         5590Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-lr9tx              334m         5621Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-m8dg9              327m         5633Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-mr4fv              315m         5621Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-pbrq8              315m         5591Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-pnrnb              338m         5617Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-tbclr              292m         5604Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-w7zrx              308m         5629Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-wm4dj              340m         5624Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-wnh4q              335m         5714Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-xzmsl              319m         5618Mi          
emss-pfa-appset-front-group-1-v12-5c94b84c4c-z7jfp              369m         5637Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-2xtmn              177m         5927Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-2zdnc              167m         6502Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-6hl5h              182m         6035Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-7dhkz              157m         5934Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-9vj9f              186m         5682Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-gkrnv              176m         5950Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-jm6f4              169m         5943Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-qxnnh              174m         5875Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-s4lj6              181m         5896Mi          
emss-pfa-content-front-group-1-v7-54844dc5bb-x7j5q              162m         6068Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-2j7gz              145m         7271Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-424rd              195m         7170Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-4hp7r              147m         7174Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-5s6z5              143m         7215Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-6jpph              205m         6998Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-6nksz              130m         7193Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-8tk8j              161m         7196Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-9nqnb              167m         7108Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-cjwgw              274m         7180Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-fsrns              170m         7225Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-fxqww              225m         7131Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-g82r2              208m         7182Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-gwtq4              324m         7165Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-h6b5w              265m         7201Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-h959l              149m         7215Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-hpqkc              155m         7082Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-hsncx              229m         7144Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-hxf22              162m         7085Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-lhnq2              158m         7248Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-lxxcw              194m         7141Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-mtdzg              172m         7233Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-pncps              189m         7188Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-ppnvw              197m         7068Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-pqx4b              243m         7268Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-qfhzz              273m         7200Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-qpl9l              159m         7229Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-r2k7l              307m         7127Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-sz22j              171m         7151Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-t7g5t              166m         7195Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-tksbt              153m         7230Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-trtgt              155m         7166Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-tv84g              178m         7198Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-vcfqn              173m         7142Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-vtr9w              181m         7263Mi          
emss-pfa-menmber-front-group-1-v20-5486dd65b-x97bt              198m         7210Mi          
emss-sta-connect-front-group-1-v4-7b5f5d5cfc-67sdm              54m          3077Mi          
emss-sta-connect-front-group-1-v4-7b5f5d5cfc-8dgq9              70m          3094Mi          
emss-sta-connect-front-group-1-v4-7b5f5d5cfc-l9w8l              62m          3113Mi          
emss-sta-connect-front-group-1-v4-7b5f5d5cfc-wfrjl              55m          3077Mi          
osg-cea0001-group-1-v5-7cf9dc6b95-mlslm                         58m          1674Mi          
osg-cea0001-group-1-v5-7cf9dc6b95-wzlm7                         45m          1661Mi          
osg-cz0001-group-1-v4-764b4fc94b-b6p7s                          49m          1649Mi          
osg-cz0001-group-1-v4-764b4fc94b-c7rr5                          52m          1626Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-27v9g                      121m         4114Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-2rnvc                      135m         4085Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-2txx9                      138m         4091Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-5chgk                      167m         4092Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-6ljzp                      155m         3868Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-7gsgv                      135m         4095Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-7m6gn                      129m         3828Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-94b2x                      135m         4104Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-9794g                      163m         4094Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-d4jsl                      134m         4094Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-dsx6h                      140m         3880Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-gkqv8                      160m         4098Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-hln84                      124m         4068Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-lhhlk                      141m         4119Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-mxkcp                      152m         4116Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-mxvh5                      165m         3984Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-nhgrl                      152m         4064Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-p4zrs                      152m         5117Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-rfcqj                      145m         4122Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-s5jlb                      124m         4119Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-t69pq                      107m         4207Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-tgl2j                      134m         4099Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-tp4w9                      119m         4074Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-vpvfd                      177m         4059Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-vqlzl                      145m         4068Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-wfn5x                      124m         4103Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-x952l                      125m         3939Mi          
osg-omgmt0005-group-1-v14-848bcd86dd-zqspf                      137m         4096Mi          
osg-omgmt1024-group-1-v16-9944b576d-9pmqc                       69m          4496Mi          
osg-omgmt1024-group-1-v16-9944b576d-hxvhm                       95m          4479Mi          
osg-omgmt1024-group-1-v16-9944b576d-kmcth                       81m          4587Mi          
osg-omgmt1024-group-1-v16-9944b576d-pwvzz                       81m          4156Mi          
osg-omgmt1024-group-1-v16-9944b576d-r6zzw                       56m          4437Mi          
osg-omgmt1024-group-1-v16-9944b576d-vzpv7                       54m          4544Mi          
osg-omgmt1024-group-1-v16-9944b576d-zzht9                       71m          4666Mi          
osg-omgmt1041-group-1-v9-5b9bd77556-96nwn                       67m          2590Mi          
osg-omgmt1041-group-1-v9-5b9bd77556-nvkbq                       59m          2552Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-24ckm                      102m         4756Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-2hgf8                      90m          4518Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-2qjdl                      88m          4775Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-4h79m                      86m          4745Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-4whsv                      73m          4811Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-68fwq                      92m          4804Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-6cjbl                      92m          4742Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-7jrnw                      65m          4752Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-7nbpk                      65m          4750Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-8mvl2                      70m          4371Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-8sr45                      81m          4628Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-bjcj6                      69m          4778Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-dlgtq                      97m          4555Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-fq7h2                      70m          4810Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-fvkb4                      77m          4783Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-g7bwp                      75m          4742Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-gxj9j                      106m         4626Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-hjzwp                      77m          4387Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-hlnt7                      81m          4532Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-hvn54                      76m          4691Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-j9nrx                      63m          4762Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-jgmv8                      76m          4759Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-jnwvp                      73m          4355Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-jqwqh                      80m          4771Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-jxmjf                      78m          4779Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-k25gj                      65m          4772Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-kb85f                      75m          4814Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-kf25h                      83m          4835Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-kntwb                      77m          4746Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-kvfnv                      77m          4758Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-lqttm                      69m          4473Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-lr7pd                      106m         4678Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-nb2n7                      82m          4653Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-nlq9q                      67m          4802Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-pfjjh                      78m          4756Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-pgbbb                      80m          4737Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-q4rr6                      66m          4776Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-q4z7x                      69m          4648Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-qjvvc                      87m          4760Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-r8znd                      79m          4809Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-rdnmj                      95m          4816Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-rwnlh                      80m          4473Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-sxxnx                      77m          4457Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-t4qlw                      98m          4786Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-v7dwn                      106m         4843Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-wv6dv                      89m          4843Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-x9gjr                      83m          4790Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-xc4xf                      99m          4767Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-xgn5p                      85m          4642Mi          
osg-omgmt1042-group-1-v16-855b77bbcf-zn6d4                      87m          4738Mi          
osg-omgmt1043-group-1-v6-56785c56f-b559l                        59m          3559Mi          
osg-omgmt1043-group-1-v6-56785c56f-h64rs                        65m          3519Mi          
osg-omgmt1043-group-1-v6-56785c56f-h88w6                        59m          3231Mi          
osg-omgmt1043-group-1-v6-56785c56f-x4wnn                        61m          3517Mi          
osg-omgmt1044-group-1-v8-546fcd8649-95kxv                       29m          1204Mi          
osg-omgmt1044-group-1-v8-546fcd8649-9ksdx                       51m          1182Mi          
osg-omgmt1044-group-1-v8-546fcd8649-zz5n4                       26m          1157Mi          
osg-omgmt1045-group-1-v8-f99d8c7bb-95b54                        81m          3760Mi          
osg-omgmt1045-group-1-v8-f99d8c7bb-rzxbc                        83m          3301Mi          
osg-omgmt1045-group-1-v8-f99d8c7bb-svn2c                        82m          3291Mi          
osg-omgmt1045-group-1-v8-f99d8c7bb-vpmc5                        79m          3360Mi          
osg-omgmt1045-group-1-v8-f99d8c7bb-w828x                        89m          3703Mi          
osg-omgmt1046-group-1-v9-66cc5db8b6-lwxv9                       24m          1394Mi          
osg-omgmt1046-group-1-v9-66cc5db8b6-zslcl                       41m          1487Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-5fjtm                       110m         6530Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-7rfl9                       130m         6533Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-chhvz                       120m         6273Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-ljs6h                       106m         5650Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-lrk5m                       107m         5799Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-pmlbb                       141m         6228Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-tt7mn                       132m         6338Mi          
osg-omgmt1047-group-1-v8-865bc99b4b-wmfnt                       148m         5708Mi          
