NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-mia-mg-front-group-1-v11-6967f94c74-bpg99                   75m          5115Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-fbcgp                   61m          5384Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-jjbkp                   77m          5394Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-lwwhz                   110m         6721Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-mzqks                   130m         7517Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-p75lg                   57m          5367Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-pqjdx                   56m          5539Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-q2jh9                   79m          5571Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-q9xdl                   147m         5835Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-tr45b                   120m         7522Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-vv25n                   67m          5512Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-xjwl4                   125m         7455Mi          
emss-mia-mg-front-group-1-v11-6967f94c74-zzgf6                   55m          5586Mi          
emss-msc-manage-subdomain-group-1-v13-5998cd99f5-85mlv           24m          1530Mi          
emss-msc-manage-subdomain-group-1-v13-5998cd99f5-qqtr8           51m          1535Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-22b8f                35m          2633Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-25g5r                32m          2492Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-99m95                32m          2578Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-fj9z8                30m          2563Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-fkhz8                60m          2600Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-jr6vv                33m          2624Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-qpzsx                33m          2521Mi          
emss-msc-oracle-data-group-1-v10-85ff7f8fff-r5kb7                32m          2633Mi          
emss-msc-passinneroracle-data-group-1-v10-84457ddf97-mzrl4       28m          3365Mi          
emss-msc-passinneroracle-data-group-1-v10-84457ddf97-xdsh4       25m          3390Mi          
