NAME                                                          CPU(cores)   MEMORY(bytes)   
osg-open-bc0001-group-1-v6-fd758f59-49dgl                     75m          3435Mi          
osg-open-bc0001-group-1-v6-fd758f59-54gqx                     80m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-6m4nw                     168m         3424Mi          
osg-open-bc0001-group-1-v6-fd758f59-6xcrw                     75m          3433Mi          
osg-open-bc0001-group-1-v6-fd758f59-7cz67                     80m          3433Mi          
osg-open-bc0001-group-1-v6-fd758f59-85fjn                     76m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-9kb5c                     85m          3438Mi          
osg-open-bc0001-group-1-v6-fd758f59-fpjvl                     81m          3431Mi          
osg-open-bc0001-group-1-v6-fd758f59-h8hz2                     79m          3440Mi          
osg-open-bc0001-group-1-v6-fd758f59-j8jdz                     92m          3428Mi          
osg-open-bc0001-group-1-v6-fd758f59-k627j                     91m          3423Mi          
osg-open-bc0001-group-1-v6-fd758f59-k7kmf                     76m          3434Mi          
osg-open-bc0001-group-1-v6-fd758f59-lcthf                     76m          3425Mi          
osg-open-bc0001-group-1-v6-fd758f59-m2dwd                     82m          3429Mi          
osg-open-bc0001-group-1-v6-fd758f59-mshrk                     77m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-prqzx                     77m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-qn9kq                     72m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-r7t2z                     85m          3431Mi          
osg-open-bc0001-group-1-v6-fd758f59-sqshs                     77m          3426Mi          
osg-open-bc0001-group-1-v6-fd758f59-t2688                     73m          3428Mi          
osg-open-bc0001-group-1-v6-fd758f59-ts47v                     96m          3418Mi          
osg-open-bc0001-group-1-v6-fd758f59-vcdwz                     71m          3434Mi          
osg-open-bc0001-group-1-v6-fd758f59-vgx2d                     79m          3438Mi          
osg-open-bc0001-group-1-v6-fd758f59-x8hlq                     72m          3427Mi          
osg-open-bc0001-group-1-v6-fd758f59-xbb64                     79m          3425Mi          
osg-open-bc0001-group-1-v6-fd758f59-z7rbm                     88m          3439Mi          
osg-open-mce0001-group-1-v6-b5686d4f5-8b85f                   62m          3317Mi          
osg-open-mce0001-group-1-v6-b5686d4f5-dd78c                   66m          3322Mi          
osg-open-oc0001-group-1-v6-8db97786b-6wlqd                    35m          3025Mi          
osg-open-oc0001-group-1-v6-8db97786b-dlm4l                    40m          3172Mi          
osg-open-oc0001-group-1-v6-8db97786b-wjj47                    37m          2694Mi          
osg-open-oc0001-group-1-v6-8db97786b-zmp5x                    42m          3169Mi          
osg-open-om0001-group-1-v6-57df878b56-2rdzw                   80m          5553Mi          
osg-open-om0001-group-1-v6-57df878b56-2vwvp                   77m          5557Mi          
osg-open-om0001-group-1-v6-57df878b56-7v7lz                   70m          5567Mi          
osg-open-om0001-group-1-v6-57df878b56-99bnl                   80m          5578Mi          
osg-open-om0001-group-1-v6-57df878b56-c64xm                   181m         5560Mi          
osg-open-om0001-group-1-v6-57df878b56-glthk                   83m          5562Mi          
osg-open-om0001-group-1-v6-57df878b56-tvw7w                   71m          5585Mi          
osg-open-om0001-group-1-v6-57df878b56-wr8gw                   85m          5571Mi          
osg-open-pt0001-group-1-v6-54b5b99d75-24r2x                   43m          2719Mi          
osg-open-pt0001-group-1-v6-54b5b99d75-48jx5                   44m          2827Mi          
osg-open-pt0001-group-1-v6-54b5b99d75-8x9v5                   42m          2418Mi          
osg-open-pt0001-group-1-v6-54b5b99d75-dwshf                   41m          2483Mi          
osg-open-pt0001-group-1-v6-54b5b99d75-vfjcx                   37m          2789Mi          
osg-open-scp0001-group-1-v6-55b97878f5-d5rps                  76m          5761Mi          
osg-open-scp0001-group-1-v6-55b97878f5-hw4xf                  41m          6841Mi          
osg-open-scp0001-group-1-v6-55b97878f5-hzvkn                  36m          5238Mi          
osg-open-scp0001-group-1-v6-55b97878f5-nkz64                  31m          5675Mi          
osg-open-sfan0001-group-1-v6-79b4567959-hhj8x                 41m          3994Mi          
osg-open-sfan0001-group-1-v6-79b4567959-vxtpq                 34m          3393Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-2n4jd                  114m         6598Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-59bqg                  90m          6619Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-5x9j6                  252m         6595Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-6422g                  183m         6587Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-6ctsx                  122m         6591Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-6tlmz                  111m         6603Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-89wxv                  104m         6602Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-9n6l2                  101m         6598Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-bd9bb                  118m         6599Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-d8sbx                  107m         6601Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-fzttn                  123m         6603Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-hd48s                  112m         6608Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-hgrbg                  128m         6596Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-hs6ts                  114m         6606Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-kf7g2                  126m         6593Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-klxtp                  106m         6612Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-l5bk6                  102m         6601Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-lwgtg                  101m         6604Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-mjhpx                  127m         6601Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-nx2tv                  108m         6617Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-qlnfs                  122m         6596Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-rkdnl                  104m         6599Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-rq6tt                  104m         6602Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-sfjgw                  93m          6629Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-t7s6s                  123m         6634Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-trjl6                  124m         6594Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-txpl8                  136m         6606Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-vdfls                  105m         6611Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-x94rd                  93m          6608Mi          
osg-open-uc0001-group-1-v11-59b4d9bfdc-xrpvc                  254m         6587Mi          
osg-open-woc0001-group-1-v6-7c86485497-29wzd                  36m          1990Mi          
osg-open-woc0001-group-1-v6-7c86485497-7lhjr                  38m          2006Mi          
osg-open-woc0001-group-1-v6-7c86485497-z2jvp                  35m          1911Mi          
osg-openpf0002-group-1-v9-687bcb55dc-shbfg                    40m          1653Mi          
osg-openpf0002-group-1-v9-687bcb55dc-tm6qn                    22m          1744Mi          
osg-openpf0002-group-1-v9-687bcb55dc-wc529                    27m          1760Mi          
osg-openpf0002-group-1-v9-687bcb55dc-wtdz2                    23m          1788Mi          
osg-openpf0004-group-1-v7-9fb458855-9x5dc                     32m          3412Mi          
osg-openpf0004-group-1-v7-9fb458855-s4tfm                     32m          3440Mi          
osg-openpf0004-group-1-v7-9fb458855-tdjp2                     40m          3563Mi          
osg-openpf0004-group-1-v7-9fb458855-vsdpl                     34m          3493Mi          
osg-openpf0006-group-1-v6-7f47c4c845-2wphs                    36m          2794Mi          
osg-openpf0006-group-1-v6-7f47c4c845-4cdlr                    41m          2813Mi          
osg-openpf0006-group-1-v6-7f47c4c845-875cg                    49m          2873Mi          
osg-openpf0006-group-1-v6-7f47c4c845-cnsc6                    37m          2841Mi          
osg-openpf0006-group-1-v6-7f47c4c845-d8w6c                    35m          2769Mi          
osg-openpf0006-group-1-v6-7f47c4c845-h66br                    37m          2813Mi          
osg-openpf0006-group-1-v6-7f47c4c845-k8lpd                    41m          2862Mi          
osg-openpf0006-group-1-v6-7f47c4c845-kt98f                    33m          2870Mi          
osg-openpf0006-group-1-v6-7f47c4c845-nflgf                    46m          2762Mi          
osg-openpf0006-group-1-v6-7f47c4c845-v8829                    90m          2734Mi          
osg-scp0002-group-1-v12-69ddb9b4d-4jvcv                       54m          6193Mi          
osg-scp0002-group-1-v12-69ddb9b4d-5n4gb                       75m          6585Mi          
osg-scp0002-group-1-v12-69ddb9b4d-6j7qv                       49m          6496Mi          
osg-scp0002-group-1-v12-69ddb9b4d-6jwdz                       46m          6325Mi          
osg-scp0002-group-1-v12-69ddb9b4d-8fb8j                       50m          6436Mi          
osg-scp0002-group-1-v12-69ddb9b4d-cspg7                       54m          6642Mi          
osg-scp0002-group-1-v12-69ddb9b4d-d5m99                       69m          6344Mi          
osg-scp0002-group-1-v12-69ddb9b4d-d8xnh                       55m          6436Mi          
osg-scp0002-group-1-v12-69ddb9b4d-fh42z                       88m          6343Mi          
osg-scp0002-group-1-v12-69ddb9b4d-gb2wv                       57m          5909Mi          
osg-scp0002-group-1-v12-69ddb9b4d-h4662                       52m          6446Mi          
osg-scp0002-group-1-v12-69ddb9b4d-k8rrd                       76m          6293Mi          
osg-scp0002-group-1-v12-69ddb9b4d-krlnr                       46m          6199Mi          
osg-scp0002-group-1-v12-69ddb9b4d-m5lwz                       63m          6288Mi          
osg-scp0002-group-1-v12-69ddb9b4d-mn5m2                       54m          6285Mi          
osg-scp0002-group-1-v12-69ddb9b4d-nwlq7                       48m          6088Mi          
osg-scp0002-group-1-v12-69ddb9b4d-pfpcn                       54m          6630Mi          
osg-scp0002-group-1-v12-69ddb9b4d-q8bjr                       54m          6486Mi          
osg-scp0002-group-1-v12-69ddb9b4d-s2cbv                       55m          6445Mi          
osg-scp0002-group-1-v12-69ddb9b4d-thl4q                       46m          6448Mi          
osg-scp0002-group-1-v12-69ddb9b4d-tmk6k                       51m          6548Mi          
osg-scp0002-group-1-v12-69ddb9b4d-x2k8r                       53m          5830Mi          
osg-scp0002-group-1-v12-69ddb9b4d-xkfj6                       153m         6621Mi          
osg-scp0002-group-1-v12-69ddb9b4d-xxq4r                       72m          6350Mi          
osg-scp0002-group-1-v12-69ddb9b4d-zf8wx                       59m          6323Mi          
osg-scp0016-group-1-v8-76f789f77-6l48d                        19m          2308Mi          
osg-scp0016-group-1-v8-76f789f77-7bk2f                        16m          2320Mi          
