NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-eaa-asset-front-group-1-v15-bf465c7f-6h7n7                  144m         7064Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-6hqwz                  168m         7023Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-7njrd                  170m         7040Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-7qr8t                  203m         7066Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-7rkpn                  134m         6971Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-8dkzx                  156m         7138Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-8sg85                  169m         6983Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-8w62c                  136m         7140Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-cjqk4                  172m         7010Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-d48dg                  157m         7204Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-dlbhb                  201m         6972Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-fpgf6                  196m         7031Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-gtbfq                  170m         7013Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-h5gl6                  135m         6982Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-jswtg                  161m         7066Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-krbtc                  163m         7073Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-krphl                  169m         7113Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-kz5gp                  107m         7226Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-l4gh6                  135m         7019Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-llf5w                  151m         7090Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-mn4gs                  243m         6929Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-n577t                  158m         7094Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-nbmdr                  193m         6896Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-nbx8m                  148m         6988Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-nw8fk                  178m         5763Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-r88nz                  157m         7079Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-td26t                  173m         7058Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-v42jz                  179m         7047Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-v82pq                  176m         7082Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-vnd9c                  139m         7170Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-w76bc                  162m         6979Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-wm7c2                  160m         7071Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-x6zr9                  188m         6990Mi          
emss-eaa-asset-front-group-1-v15-bf465c7f-x7b5q                  169m         6951Mi          
