NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-cuc-channel-front-group-1-v3-5c896cbc57-76jjv            38m          2400Mi          
emss-cuc-channel-front-group-1-v3-5c896cbc57-dbbln            34m          2386Mi          
emss-cuc-channel-front-group-1-v3-5c896cbc57-hbvff            37m          2418Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-4c72c             191m         6815Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-58cgj             187m         6830Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-766gd             185m         6818Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-9jrq7             150m         6900Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-bp654             193m         6695Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-cfk4f             219m         6876Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-fgqjm             196m         6805Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-fn4hn             163m         6826Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-gc749             190m         6864Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-gd8pg             173m         6855Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-h6pvj             211m         6865Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-h76n4             172m         6895Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-hn9bm             187m         6857Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-j5rss             200m         6870Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-j6jkf             108m         6997Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-j8jsr             170m         6863Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-kxnvn             198m         6856Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-lfr2b             149m         6856Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-mvx4r             183m         6831Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-n2vdz             175m         6826Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-njhbn             194m         6867Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-nth2x             176m         6854Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-nwk2r             174m         6862Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-nwl6l             166m         6860Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-qm7tz             171m         6843Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-s99r8             186m         6863Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-szgsq             181m         6852Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-t96s7             191m         6819Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-tfpb7             177m         6841Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-wvdws             171m         6835Mi          
emss-cuc-oracle-data-group-1-v10-6dcc8c94c7-zmh8b             142m         6629Mi          
emss-esa-sale-front-group-1-v10-7d55b99584-l5xw6              59m          1707Mi          
emss-esa-sale-front-group-1-v10-7d55b99584-smngf              58m          1648Mi          
emss-pdc-energymarke-subdomain-group-1-v16-8f99c954c-4bm5j    60m          1684Mi          
emss-pdc-energymarke-subdomain-group-1-v16-8f99c954c-nzwrs    63m          1700Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-9gpvk        84m          1995Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-lhwpz        88m          1960Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-r4jtk        87m          1995Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-rjvhf        83m          2032Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-t6g98        89m          2033Mi          
emss-pfa-busisupport-front-group-1-v9-789d974d7c-xtnjw        77m          1980Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-4bt98              285m         6665Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-4fkpv              284m         6673Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-5pb2l              270m         6658Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-5tfnf              228m         6757Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-6544m              298m         6725Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-7jvv8              252m         6660Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-7xb6f              230m         6645Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-8k5tq              279m         6722Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-8sf55              354m         6735Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-9bzx5              291m         6716Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-cq6cw              294m         6680Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-dzkfc              250m         6703Mi          
emss-uia-auth-front-group-1-v17-58bb4c98fc-g9ccr              315m         6654Mi          
