NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44nnssz   21m          3462Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44nrws2   21m          3457Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44p26d2   49m          3455Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44p6b6j   32m          3463Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44rggmp   25m          3458Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44rm2dn   20m          3481Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44v9m6l   24m          3457Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44vrhzt   25m          3463Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44vtt28   34m          3469Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44vtv8m   25m          3502Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44w544z   44m          3441Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44wfpv5   23m          3450Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44wzhf6   26m          3467Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44x6dq5   49m          3437Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44z9h84   25m          3463Mi          
emss-cma-withincustomer-inner-front-group-1-v21-774b546f44zg944   51m          3419Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-2tnkz     24m          1868Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-44ml9     34m          1891Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-72rh6     49m          1907Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-95rcx     21m          1939Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-b4ttq     35m          1877Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-fnbvp     54m          1860Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-jkccs     42m          1833Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-jktqz     36m          1862Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-ml86g     24m          1913Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-mtdcf     45m          1901Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-qdzdm     50m          1987Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-tw7d5     52m          1967Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-v2gcq     20m          1879Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-vr6vc     20m          1832Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-xvl5w     32m          1892Mi          
emss-coc-intranet-inner-subdomain-group-1-v6-67779fbf98-zb4d8     46m          1889Mi          
emss-coc-oracle-inner-data-group-1-v5-794f789957-2c8t8            35m          1802Mi          
