NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-scp-inward-req1-group-1-v9-665bff49f8-x88tg                  90m          7199Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-xppll                  121m         7142Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-zdzvv                  120m         7159Mi          
emss-scp-inward-req1-group-1-v9-665bff49f8-zzl8t                  165m         7137Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-2gx4m                     24m          1527Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-2kfhm                     37m          1514Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-4r6k5                     58m          1533Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-4rmmz                     24m          1516Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-5bc42                     46m          1529Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-5xhgs                     23m          1518Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-67bgr                     48m          1520Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-6jb66                     30m          1518Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-75gnc                     26m          1522Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-76fmg                     31m          1527Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-8kn4q                     57m          1536Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-994pr                     26m          1519Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-bdvwh                     27m          1510Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-bm52f                     30m          1504Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-bp4fb                     54m          1558Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-hwpfc                     24m          1521Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-hxr5l                     23m          1521Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-jb8gd                     50m          1527Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-l2kst                     24m          1526Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-l5p8d                     43m          1503Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-l6ndc                     26m          1520Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-mq2t9                     31m          1528Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-ndrmr                     29m          1507Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-nls82                     29m          1534Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-nnzsx                     30m          1528Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-pxqkx                     25m          1514Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-pxzh6                     31m          1526Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-r4d6b                     50m          1526Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-rmzd5                     47m          1532Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-tbncj                     57m          1519Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-vhvhg                     24m          1524Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-vlk47                     22m          1518Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-w6s98                     56m          1528Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-wc55f                     25m          1529Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-wt7rf                     55m          1521Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-x9q4k                     61m          1532Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-xmbd8                     25m          1521Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-xt2mw                     54m          1540Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-zcdrc                     33m          1520Mi          
emss-scp-userenvi-group-1-v11-bc6b668cf-zh8mj                     38m          1528Mi          
emss-woc-newbusinessr-inner-subdomai-371ad7-v6-5675d7fb7-l8nvg    26m          2300Mi          
emss-woc-newbusinessr-inner-subdomai-371ad7-v6-5675d7fb7-x86t9    22m          2295Mi          
emss-woc-newbusinessr-inner-subdomai-371ad7-v6-5675d7fb7-xr485    17m          2292Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-9xn6d           55m          2410Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-gw2dd           31m          2393Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-gxbzd           68m          2404Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-lwqwp           33m          2412Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-tdsrs           40m          2402Mi          
emss-woc-oracle-inner-data-group-1-v14-74d9f744f7-zdlbh           34m          2397Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-2fhb2      24m          2566Mi          
emss-woc-woapply-inner-subdomain-group-1-v8-789796cfc4-2nhk4      25m          2541Mi          
